,Measure,State,Value,Score,Rank
58668,"Depression - Less Than $25,000",HI,25.7,,8.0
58669,"Depression - Less Than $25,000",IA,31.3,,20.0
58679,"Depression - Less Than $25,000",MI,36.5,,30.0
58685,"Depression - Less Than $25,000",ND,39.9,,42.0
58706,"Depression - Less Than $25,000",WV,42.9,,47.0
58720,Depression - Difficulty Hearing,HI,19.0,,1.0
58721,Depression - Difficulty Hearing,IA,23.5,,12.0
58731,Depression - Difficulty Hearing,MI,26.8,,22.0
58737,Depression - Difficulty Hearing,ND,26.8,,22.0
58758,Depression - Difficulty Hearing,WV,42.4,,48.0
58772,Depression - Difficulty Seeing,HI,29.3,,6.0
58773,Depression - Difficulty Seeing,IA,37.5,,26.0
58783,Depression - Difficulty Seeing,MI,36.6,,25.0
58789,Depression - Difficulty Seeing,ND,41.0,,37.0
58810,Depression - Difficulty Seeing,WV,47.6,,47.0
58824,Depression - Difficulty With Cognition,HI,45.9,,1.0
58825,Depression - Difficulty With Cognition,IA,54.2,,11.0
58835,Depression - Difficulty With Cognition,MI,62.8,,39.0
58841,Depression - Difficulty With Cognition,ND,64.6,,44.0
58862,Depression - Difficulty With Cognition,WV,65.2,,46.0
58876,Depression - Difficulty With Mobility,HI,24.5,,1.0
58877,Depression - Difficulty With Mobility,IA,32.8,,11.0
58887,Depression - Difficulty With Mobility,MI,39.0,,32.0
58893,Depression - Difficulty With Mobility,ND,39.4,,36.0
58914,Depression - Difficulty With Mobility,WV,45.7,,48.0
58928,Depression - Difficulty With Self-Care,HI,39.5,,5.0
58929,Depression - Difficulty With Self-Care,IA,46.6,,15.0
58939,Depression - Difficulty With Self-Care,MI,45.7,,13.0
58945,Depression - Difficulty With Self-Care,ND,53.8,,39.0
58966,Depression - Difficulty With Self-Care,WV,56.6,,44.0
58980,Depression - Independent Living Difficulty,HI,41.5,,1.0
58981,Depression - Independent Living Difficulty,IA,52.4,,15.0
58991,Depression - Independent Living Difficulty,MI,55.9,,27.0
58997,Depression - Independent Living Difficulty,ND,65.5,,47.0
59018,Depression - Independent Living Difficulty,WV,56.9,,31.0
59032,Depression - Without a Disability,HI,9.0,,1.0
59033,Depression - Without a Disability,IA,13.0,,16.0
59043,Depression - Without a Disability,MI,16.3,,37.0
59049,Depression - Without a Disability,ND,15.3,,34.0
59070,Depression - Without a Disability,WV,20.3,,48.0
59084,Depression - Metro,HI,13.1,,1.0
59085,Depression - Metro,IA,19.9,,14.0
59095,Depression - Metro,MI,23.6,,30.0
59101,Depression - Metro,ND,23.6,,30.0
59122,Depression - Metro,WV,30.2,,48.0
59136,Depression - Non-Metro,HI,17.2,,5.0
59137,Depression - Non-Metro,IA,18.3,,8.0
59147,Depression - Non-Metro,MI,26.1,,39.0
59153,Depression - Non-Metro,ND,20.9,,19.0
59174,Depression - Non-Metro,WV,32.7,,44.0
59188,Depression - LGBQ+,HI,32.1,,1.0
59189,Depression - LGBQ+,IA,41.1,,11.0
59199,Depression - LGBQ+,MI,50.4,,23.0
59205,Depression - LGBQ+,ND,55.7,,33.0
59226,Depression - LGBQ+,WV,64.1,,35.0
59240,Depression - Straight,HI,12.6,,2.0
59241,Depression - Straight,IA,17.5,,10.0
59251,Depression - Straight,MI,21.6,,26.0
59257,Depression - Straight,ND,20.3,,19.0
59278,Depression - Straight,WV,29.3,,35.0
59292,Depression - Not Served,HI,13.9,,1.0
59293,Depression - Not Served,IA,19.7,,14.0
59303,Depression - Not Served,MI,24.9,,37.0
59309,Depression - Not Served,ND,23.0,,28.0
59330,Depression - Not Served,WV,32.1,,48.0
59344,Depression - Served,HI,13.2,,2.0
59345,Depression - Served,IA,14.0,,4.0
59355,Depression - Served,MI,16.1,,12.0
59361,Depression - Served,ND,17.1,,16.0
59382,Depression - Served,WV,23.2,,41.0
